code_com,code_reg,code_dept,code_arr,lib_com,lib_arr,lib_dept,lib_reg,gridens7,p_pop,superf_choro,gare_tgv,nb_actes_france_renov,friches,ecoquartiers,part_actifs,part_inactifs,med_disp,part_residences_secondaires,part_trajets_voiture,com_variation_encours_dette_ha_pct,dependance_eco,abstention_municipales,taux_creation_ent,total_entreprises,part_licencies_sportifs,CSP_maire,climat,emissions_ges,beneficiaire_prog,part_jeunes_sans_diplome,etab_industrie,etab_construction,etab_CTHR,etab_IC,etab_AFA,etab_AI,etab_ASTSA,etab_APESAS,etab_AAS,etab_tourisme,eolienne_PE_kw,nbr_eolienne,hydroelectrique_PE_kw,nbr_instal_hydroelec,photovoltaique_PE_kw,nbr_inst_sol_photovoltaique,fossile_PE_kw,fossile_PT_kw,nbr_inst_fossile,incinerateur_PE_kw,incinerateur_PT_kw,nbr_incinerateur,chaufferie_bois_PE_kw,chaufferie_bois_PT_kw,nbr_chaufferie_bois,methaniseur_PE_kw,methaniseur_PT_kw,nbr_unite_methaniseur,taux_conformite_bact,taux_conformite_chim,MC_industrie_mwh,MC_agricole_mwh,MC_tertiaire_mwh,MC_residentiel_mwh,MC_totale_mwh,cp_AF,ae_AF,cp_AGTE,ae_AGTE,cp_AAFAR,ae_AAFAR,cp_APD,ae_APD,cp_culture,ae_culture,cp_economie,ae_economie,cp_DAG,ae_DAG,cp_ES,ae_ES,cp_GFP,ae_GFP,cp_IAI,ae_IAI,cp_justice,ae_justice,cp_MLIC,ae_MLIC,cp_PR,ae_PR,cp_RES,ae_RES,cp_RCT,ae_RCT,cp_RD,ae_RD,cp_securites,ae_securites,cp_SIEC,ae_SIEC,cp_SJVA,ae_SJVA,cp_EDMD,ae_EDMD,cp_TEAMS,ae_TEAMS,cp_TFP,ae_TFP,cp_CT,ae_CT,cp_GPIE,ae_GPIE,cp_CCSR,ae_CCSR,taux_subvention,autres_benef_collectivite,autres_benef_entreprise,autres_benef_etat,autres_benef_association
29238,53.0,29,292,Roscanvel,Châteaulin,Finistère,Bretagne,6,823.0,9.1,0,3.0,0.0,0.0,239,178,23200.0,51.9,88.2,-24.8,182.0,45.5,30.2,53.0,176,14,1,3689.63,0,18.2,7,3,8,3,2,1,11,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,238.627,3.802,4653.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66502.0,72556.0,0.0,0.0,0.0,0.0,0.0,0.0,350136.0,7550136.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,498006.0,498006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.2,4.0,8.0,0.0,1.0
29239,53.0,29,293,Roscoff,Morlaix,Finistère,Bretagne,3,3334.0,6.2,0,4.0,0.0,0.0,1189,465,24020.0,33.9,74.5,3.6,170.0,44.8,11.7,343.0,843,22,1,15319.0,0,0.0,21,7,127,8,27,31,50,47,25,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1.0,0.0,0.0,0.0,1.0,0.9090909090909091,118.0606166666667,364.2681,9215.162660416667,12.68833662398137,42052.5397,0.0,0.0,1224.0,1224.0,20244000.0,20244000.0,0.0,0.0,895392.6,895392.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197219.5999999999,7652428.8,1019630.6399999999,1019630.6399999999,51439.67,51439.67,0.0,0.0,0.0,0.0,362652.81999999995,362652.81999999995,0.0,0.0,0.0,0.0,230832.0,383250.0,0.0,0.0,20000.0,20000.0,0.36,6.0,42.0,0.0,0.0
29240,53.0,29,292,Rosnoën,Châteaulin,Finistère,Bretagne,6,974.0,33.6,0,6.0,0.0,0.0,442,139,22530.0,15.7,84.8,37.8,111.0,50.9,25.0,68.0,200,14,1,18279.32,0,5.6,6,11,13,4,5,7,15,4,3,0.0,0.0,0.0,0.0,0.0,246.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,11.136,118.859,31.552,5.066,4035.2439999999997,0.0,0.0,10454.400000000001,10454.4,7980000.0,7980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5218.2,5218.2,0.0,0.0,0.0,0.0,0.0,0.0,695268.0,695268.0,1800386.28,1800386.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,28000.0,0.24,2.0,36.0,0.0,0.0
29241,53.0,29,294,Rosporden,Quimper,Finistère,Bretagne,5,7609.0,57.4,1,11.0,2.0,0.0,3456,1171,20900.0,5.0,89.0,-29.4,107.0,58.9,12.9,433.0,1445,29,0,48345.74,0,8.6,32,57,133,4,22,29,44,62,50,2.0,0.0,0.0,0.0,0.0,348.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.0,0.0,0.0,1.0,0.9487179487179487,11846.401275,165.612,11035.14234685446,13.854191879327399,70977.11284,0.0,0.0,84471.58,84471.58,2145682.04,2145682.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934838.42,3934838.42,0.0,0.0,0.0,0.0,104462.54,104462.54,0.0,0.0,0.0,0.0,0.0,0.0,3774794.7600000002,10011196.8,2136548.6799999997,2136548.6799999997,1042555.64,1288465.4000000001,0.0,0.0,42500.0,42500.0,337808.0,1897950.0,0.0,0.0,0.0,0.0,2763438.0,3198250.0,0.0,0.0,40000.0,40000.0,0.44,31.0,51.0,0.0,13.0
29243,53.0,29,292,Saint-Coulitz,Châteaulin,Finistère,Bretagne,6,465.0,11.2,0,0.0,1.0,0.0,216,61,21920.0,6.8,94.4,-81.3,104.0,43.2,35.3,17.0,86,9,0,4295.87,0,6.7,0,3,5,1,0,3,2,1,2,0.0,8000.0,4.0,0.0,0.0,0.0,0.0,6027.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,149.416,68.704,2720.6910000000003,5.363,4708.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647276.0,647276.0,1165751.4400000002,1165751.4400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,9.0,0.0,0.0
29244,53.0,29,293,Saint-Derrien,Morlaix,Finistère,Bretagne,6,838.0,12.3,0,1.0,0.0,0.0,451,77,21240.0,2.9,90.3,-40.5,81.0,45.7,21.4,28.0,250,13,0,8095.07,0,4.5,1,9,9,0,0,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,229.69400000000002,68.721,5.574,3899.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,537233.2000000001,537233.2000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,14000.0,0.08,2.0,12.0,0.0,0.0
29245,53.0,29,291,Saint-Divy,Brest,Finistère,Bretagne,5,1587.0,8.5,0,3.0,0.0,0.0,753,171,24410.0,0.8,90.0,-19.2,110.0,55.6,14.3,77.0,547,17,0,11894.29,0,4.3,8,13,16,0,2,4,10,16,8,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9090909090909091,5733.76256,26.716,504.7218177777778,14.908846519337018,13826.98656,0.0,0.0,48423.60000000001,32563.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66069.66,66069.66,998.4,998.4,0.0,0.0,58789.46,2945.1300000000006,0.0,0.0,0.0,0.0,0.0,0.0,6177339.36,6177339.36,1232511.0,1232511.0,0.0,0.0,0.0,0.0,7500.0,7500.0,197432.52000000002,245812.19999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600.0,33600.0,0.36,7.0,31.0,0.0,2.0
29246,53.0,29,291,Saint-Eloy,Brest,Finistère,Bretagne,6,221.0,12.4,0,0.0,0.0,0.0,111,21,21140.0,14.6,95.7,-1.7,103.0,28.1,23.1,13.0,31,11,0,3346.41,0,0.0,3,2,2,0,0,1,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,245.319,6.463,4.795,1134.172,0.0,0.0,0.0,0.0,1400000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439637.76,439637.76,21630.84,21630.84,0.0,0.0,0.0,0.0,0.0,0.0,111600.0,111600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,14000.0,0.2,4.0,0.0,0.0,0.0
29247,53.0,29,294,Saint-Évarzec,Quimper,Finistère,Bretagne,5,3508.0,24.6,0,8.0,0.0,0.0,1654,491,23800.0,2.8,92.3,-26.9,109.0,45.9,11.6,388.0,731,27,0,46956.77,0,4.3,54,65,96,5,23,23,62,41,19,0.0,0.0,0.0,0.0,0.0,390.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,1.0,0.9285714285714286,15318.421600000001,747.17496,2239.6534477777777,13.947996,78593.17546,0.0,0.0,10121.68,12906.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24534.899999999998,24534.899999999998,23614.89,24076.0,0.0,0.0,568166.72,571923.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,1956227.2799999998,1956227.2799999998,0.0,0.0,0.0,0.0,9330.0,9330.0,1028126.1,3537656.1,0.0,0.0,0.0,0.0,67578.0,73500.0,0.0,0.0,5000.0,5000.0,0.36,4.0,45.0,0.0,0.0
29248,53.0,29,291,Saint-Frégant,Brest,Finistère,Bretagne,6,863.0,8.4,0,2.0,0.0,0.0,435,104,22310.0,4.2,96.4,-40.3,97.0,50.7,6.1,33.0,254,12,0,7613.98,0,9.1,4,7,6,1,2,4,5,3,1,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,169.646,16.565,5.335,2958.982,0.0,0.0,0.0,0.0,67533.51999999999,67533.51999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625246.28,1625246.28,191763.60000000003,191763.60000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,28000.0,0.16,4.0,6.0,0.0,0.0
