code_com,filiere,lambert_x,lambert_y
22054,Eolienne,"290448,83","6877609,11"
22054,Eolienne,"290725,73","6879314,38"
22054,Eolienne,"290860,54","6875100,37"
22054,Eolienne,"291028,99","6880994,48"
22054,Eolienne,"291157,86","6876791,53"
22054,Eolienne,"291280,25","6872583,36"
22054,Eolienne,"291302,15","6882725,82"
22054,Eolienne,"291456,73","6878506,22"
22054,Eolienne,"291578,75","6874292,63"
22054,Eolienne,"291729,01","6880207,53"
22054,Eolienne,"291868,41","6875992,62"
22054,Eolienne,"292016,91","6881921,98"
22054,Eolienne,"292059,18","6871828,83"
22054,Eolienne,"292158,31","6877697,46"
22054,Eolienne,"292324,75","6883615,75"
22054,Eolienne,"292354,50","6873534,52"
22054,Eolienne,"292450,68","6879381,50"
22054,Eolienne,"292589,30","6875184,94"
22054,Eolienne,"292736,65","6881109,75"
22054,Eolienne,"292786,77","6871030,95"
22054,Eolienne,"292877,09","6876900,91"
22054,Eolienne,"293010,40","6872677,49"
22054,Eolienne,"293039,90","6882817,50"
22054,Eolienne,"293174,20","6878617,04"
22054,Eolienne,"293299,68","6874378,00"
22054,Eolienne,"293413,45","6880257,64"
22054,Eolienne,"293581,55","6876089,27"
22054,Eolienne,"293731,32","6871861,52"
22054,Eolienne,"293745,15","6881990,46"
22054,Eolienne,"293939,82","6877836,23"
22054,Eolienne,"294068,36","6873554,89"
22054,Eolienne,"294209,19","6879525,89"
22054,Eolienne,"294413,61","6871029,45"
22054,Eolienne,"294474,45","6881196,58"
22054,Eolienne,"294659,67","6877033,16"
22054,Eolienne,"294739,70","6872761,44"
22054,Eolienne,"294937,20","6878707,74"
22054,Eolienne,"295031,62","6874468,47"
22054,Eolienne,"295167,42","6870254,15"
22054,Eolienne,"295212,91","6880415,48"
22054,Eolienne,"295320,63","6876173,85"
22054,Eolienne,"295450,31","6871949,13"
22054,Eolienne,"295608,57","6877923,07"
22054,Eolienne,"295747,77","6873661,39"
22054,Eolienne,"295883,96","6869443,87"
22054,Eolienne,"295901,78","6879576,18"
22054,Eolienne,"296059,20","6875343,98"
22054,Eolienne,"296175,45","6871149,24"
22054,Eolienne,"296469,30","6872851,25"
22054,Eolienne,"296758,30","6874562,50"
22054,Eolienne,"296889,42","6870340,73"
22054,Eolienne,"297178,00","6872047,39"
22054,Eolienne,"297409,65","6873827,29"
22054,Eolienne,"297608,86","6869530,50"
22054,Eolienne,"298003,84","6871337,42"
22054,Eolienne,"298629,64","6870458,77"
22054,Eolienne,"299337,09","6869628,14"
22054,Installation solaire photovoltaïque,"297657,00","6846787,00"
22055,Chaufferie bois,"270033,00","6851117,00"
22055,Installation solaire photovoltaïque,"270033,00","6851117,00"
22055,Installation solaire photovoltaïque,"271331,00","6849886,00"
22056,Chaufferie bois,"331798,00","6820148,00"
22056,Chaufferie bois,"331798,00","6820248,00"
22056,Installation solaire photovoltaïque,"331798,00","6820248,00"
22056,Unité de méthanisation,"332271,62","6820930,06"
22059,Installation solaire photovoltaïque,"263396,00","6829341,00"
22060,Installation solaire photovoltaïque,"274289,07","6815433,73"
22061,Chaufferie bois,"226344,00","6808826,00"
22061,Chaufferie bois,"226502,00","6813779,00"
22061,Installation solaire photovoltaïque,"227565,00","6812742,00"
22062,Chaufferie bois,"291944,00","6801270,00"
22062,Chaufferie bois,"292281,00","6802157,00"
22062,Chaufferie bois,"294718,00","6800961,00"
22062,Installation solaire photovoltaïque,"290702,00","6798911,00"
22062,Installation solaire photovoltaïque,"291943,60","6801170,05"
22062,Installation solaire photovoltaïque,"291944,00","6801270,00"
22062,Installation solaire photovoltaïque,"293207,00","6802390,00"
22062,Installation solaire photovoltaïque,"293972,00","6800650,00"
22062,Unité de méthanisation,"293206,57","6802290,13"
22064,Chaufferie bois,"241874,00","6810147,00"
22065,Chaufferie bois,"256216,00","6851141,00"
22068,Installation solaire photovoltaïque,"270308,00","6810494,00"
22068,Installation solaire photovoltaïque,"271699,00","6811547,00"
22069,Installation hydroélectrique,"324980,88","6814010,84"
22071,Chaufferie bois,"321945,00","6811324,00"
22071,Installation solaire photovoltaïque,"321884,00","6811866,00"
22071,Installation solaire photovoltaïque,"323649,00","6812221,00"
22072,Eolienne,"236507,00","6842139,00"
22072,Eolienne,"236864,00","6842043,00"
22072,Eolienne,"238029,73","6843855,00"
22072,Eolienne,"238096,42","6844122,00"
22073,Chaufferie bois,"258661,00","6820675,00"
22073,Installation solaire photovoltaïque,"257892,50","6821972,80"
22074,Eolienne,"252594,00","6823601,00"
22074,Eolienne,"252881,00","6823611,00"
22074,Eolienne,"253175,00","6823653,00"
22074,Eolienne,"253454,00","6823604,00"
22074,Eolienne,"253700,00","6823588,00"
22074,Eolienne,"254029,00","6823567,00"
22074,Installation solaire photovoltaïque,"252323,00","6820340,00"
22074,Installation solaire photovoltaïque,"252512,00","6822868,00"
22074,Installation solaire photovoltaïque,"252572,00","6823639,00"
22074,Installation solaire photovoltaïque,"253150,20","6821844,90"
22076,Chaufferie bois,"301099,00","6842931,00"
22076,Chaufferie bois,"303879,00","6845135,00"
22076,Installation solaire photovoltaïque,"301402,00","6843127,00"
22076,Installation solaire photovoltaïque,"302779,30","6842146,05"
22076,Installation solaire photovoltaïque,"304565,00","6838215,00"
22076,Unité de méthanisation,"302027,19","6841627,24"
22076,Unité de méthanisation,"303257,45","6839944,33"
22076,Unité de méthanisation,"305234,30","6843617,79"
22077,Eolienne,"294385,60","6839722,50"
22077,Eolienne,"294834,53","6839763,00"
22077,Installation solaire photovoltaïque,"297867,00","6840301,00"
22077,Installation solaire photovoltaïque,"297867,05","6840200,90"
22077,Unité de méthanisation,"298452,85","6837855,88"
22077,Unité de méthanisation,"299675,66","6842198,93"
22079,Installation solaire photovoltaïque,"280460,00","6823556,00"
22081,Chaufferie bois,"281748,00","6840674,00"
22081,Chaufferie bois,"283258,00","6837666,00"
22081,Installation solaire photovoltaïque,"285326,00","6837528,00"
22083,Chaufferie bois,"303856,00","6796086,00"
22083,Eolienne,"302075,00","6798983,00"
22083,Eolienne,"302309,00","6798556,00"
22083,Installation solaire photovoltaïque,"303856,00","6795786,00"
22083,Installation solaire photovoltaïque,"303856,00","6795986,00"
22083,Installation solaire photovoltaïque,"303856,30","6795886,45"
22083,Installation solaire photovoltaïque,"304876,00","6798166,00"
22083,Unité de méthanisation,"304876,46","6798066,39"
22084,Chaufferie bois,"306509,00","6824726,00"
